	curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	50.0	1	85.0	0.87	0.0	-49.0	2022-07-29 14:45:39.048421
1	45.0	1	235.0	1.82	0.0	-44.0	2022-07-29 14:45:40.103634
2	50.0	1	293.0	2.7	0.0	-49.0	2022-07-29 14:45:41.012611
3	45.0	1	293.0	4.28	0.0	-44.0	2022-07-29 14:45:41.996168
4	80.0	2	250.5	2.23	0.0	-77.0	2022-07-29 14:45:43.009167
5	95.0	2	310.5	2.68	0.0	-91.0	2022-07-29 14:45:44.068846
6	90.0	2	329.5	6.31	0.0	-87.0	2022-07-29 14:45:45.008760
7	110.0	4	198.2	1.73	0.0	-102.0	2022-07-29 14:45:46.017006
8	185.0	4	306.8	2.54	0.0	-171.0	2022-07-29 14:45:47.024142
9	185.0	4	351.8	2.57	0.0	-171.0	2022-07-29 14:45:48.016186
10	190.0	4	371.2	2.96	0.0	-176.0	2022-07-29 14:45:49.054294
11	319.8	10	220.0	3.22	0.0	-262.0	2022-07-29 14:45:50.080208
12	455.2	10	265.2	2.95	0.0	-373.0	2022-07-29 14:45:51.110216
13	420.0	10	294.5	3.13	0.0	-345.0	2022-07-29 14:45:52.025131
14	440.0	10	300.4	3.08	0.0	-361.0	2022-07-29 14:45:53.105154
15	680.0	16	275.9	3.22	0.0	-495.0	2022-07-29 14:45:54.065582
16	695.0	16	294.9	3.47	0.0	-506.0	2022-07-29 14:45:55.079578
17	705.0	16	313.8	3.88	0.0	-514.0	2022-07-29 14:45:56.045509
18	810.0	24	233.8	11.62	1.4947459679227516e-05	-503.0	2022-07-29 14:45:57.061901
19	1035.53	24	147.5	10.41	0.006757960648560593	-574.0	2022-07-29 14:45:58.058172
20	970.64	24	139.2	9.69	0.00043291747018772876	-599.0	2022-07-29 14:45:59.041677
21	881.51	24	135.3	9.67	0.0004120586984262016	-544.0	2022-07-29 14:46:00.017591
22	892.97	29	89.9	8.72	0.0021541250180604995	-484.0	2022-07-29 14:46:01.018578
23	875.7	29	84.1	8.44	0.0009925558312655087	-484.0	2022-07-29 14:46:02.000655
24	878.58	29	82.0	8.12	0.0002480482519125826	-493.0	2022-07-29 14:46:03.019678
25	884.83	28	82.4	8.1	0.00019777578311603352	-506.0	2022-07-29 14:46:04.002238
