	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	826.72	1475	26	67.4	5.34	0.0	-494.0	2022-07-26 11:10:41.906951
1	946.7	862	26	64.0	7.06	0.0003177541687965406	-563.0	2022-07-26 11:10:42.829794
2	872.67	854	26	64.2	7.25	0.0	-521.0	2022-07-26 11:10:43.841976
3	882.78	885	26	60.3	7.06	0.0007038886527836804	-521.0	2022-07-26 11:10:44.831993
4	876.47	840	29	52.1	6.86	0.0007176938105554153	-487.0	2022-07-26 11:10:45.831962
5	872.14	881	29	49.6	6.74	0.00066402826104279	-485.0	2022-07-26 11:10:46.832093
6	872.47	848	29	46.1	6.5	0.0006521768064632052	-486.0	2022-07-26 11:10:47.832657
7	675.76	541	1	58.0	0.67	0.0	-663.0	2022-07-26 11:10:48.852923
8	45.0	799	1	86.0	1.07	0.0	-44.0	2022-07-26 11:10:49.885992
9	50.0	707	1	108.0	1.25	0.0	-49.0	2022-07-26 11:10:50.857214
10	50.0	861	1	124.0	1.4	0.0	-49.0	2022-07-26 11:10:51.906503
11	143.23	1603	20	56.6	4.0	0.0	-96.0	2022-07-26 11:10:52.925569
12	891.77	1865	20	101.7	4.93	0.0	-600.0	2022-07-26 11:10:53.961528
13	864.93	3151	20	144.2	5.25	0.0	-582.0	2022-07-26 11:10:54.913261
14	845.07	3327	20	172.2	4.78	0.0	-569.0	2022-07-26 11:10:55.933942
15	880.0	4096	20	184.6	4.19	0.0	-592.0	2022-07-26 11:10:56.905495
16	875.0	4910	20	200.3	4.43	0.0	-589.0	2022-07-26 11:10:57.901374
17	855.0	3348	20	212.2	5.56	0.0	-575.0	2022-07-26 11:10:58.930439
18	890.0	2422	21	207.3	6.15	0.0	-587.0	2022-07-26 11:10:59.909558
19	905.0	1986	21	207.6	7.91	0.0	-597.0	2022-07-26 11:11:00.926890
20	905.0	1999	21	207.6	7.63	0.0	-597.0	2022-07-26 11:11:01.957634
21	836.36	1247	21	207.6	9.24	0.0	-552.0	2022-07-26 11:11:02.917462
22	915.0	1031	21	201.5	11.07	0.0005585812037424941	-599.0	2022-07-26 11:11:03.921437
23	915.0	957	21	177.5	10.03	0.002019574335870747	-585.0	2022-07-26 11:11:04.933540
24	887.59	901	21	146.5	9.42	0.0027758137586089506	-561.0	2022-07-26 11:11:05.929607
25	908.1	908	22	124.1	9.25	0.0013479359730412806	-575.0	2022-07-26 11:11:06.921572
26	956.67	914	22	111.9	8.88	0.0006287495742841424	-613.0	2022-07-26 11:11:07.917534
27	937.18	862	22	107.1	8.68	0.00017823269551490151	-605.0	2022-07-26 11:11:08.951009
28	892.26	947	22	107.2	8.82	0.0	-577.0	2022-07-26 11:11:09.913405
29	886.9	941	22	102.0	8.35	0.0005656946595730352	-569.0	2022-07-26 11:11:10.888372
30	891.28	921	22	100.2	8.19	0.0002056502403537184	-575.0	2022-07-26 11:11:11.909227
31	880.67	874	22	98.3	8.04	0.00018464297961013953	-568.0	2022-07-26 11:11:12.897598
32	883.72	879	22	96.2	7.94	0.00014486836733350016	-570.0	2022-07-26 11:11:13.886210
33	880.82	886	22	96.2	8.05	0.0	-570.0	2022-07-26 11:11:14.912554
34	840.25	935	17	98.8	7.55	0.0	-600.0	2022-07-26 11:11:16.129918
35	792.44	1031	17	95.5	6.78	0.00047692307692307693	-562.0	2022-07-26 11:11:16.954267
36	735.0	6328	17	114.2	2.4	0.0	-525.0	2022-07-26 11:11:17.947399
37	725.0	6977	17	124.2	2.46	0.0	-518.0	2022-07-26 11:11:18.958543
38	750.0	3976	17	137.4	3.97	0.0	-536.0	2022-07-26 11:11:19.931360
39	755.0	1432	17	212.3	2.41	0.0	-539.0	2022-07-26 11:11:20.937081
40	865.0	2044	20	142.5	5.72	0.00032800375007005907	-579.0	2022-07-26 11:11:21.955300
41	875.0	3111	20	151.0	4.82	0.0	-589.0	2022-07-26 11:11:22.929394
42	865.0	2517	20	156.2	5.96	0.0	-582.0	2022-07-26 11:11:24.002552
