	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	10.0	83	2	33.0	2.58	0.0	-10.0	2022-07-21 11:32:48.921808
1	18.0	191	2	58.5	3.85	0.0	-17.0	2022-07-21 11:32:49.963220
2	19.0	210	2	72.0	3.99	0.0	-18.0	2022-07-21 11:32:50.932226
3	19.0	134	2	74.5	4.56	0.0	-18.0	2022-07-21 11:32:51.928246
4	19.0	354	2	76.0	4.42	0.0	-18.0	2022-07-21 11:32:52.919976
5	20.0	185	2	76.0	4.46	0.0	-19.0	2022-07-21 11:32:53.911990
6	19.0	201	2	76.0	4.57	0.0	-18.0	2022-07-21 11:32:54.942970
7	20.0	177	2	76.0	4.17	0.0	-19.0	2022-07-21 11:32:55.915242
8	20.0	549	2	77.5	4.15	0.0	-19.0	2022-07-21 11:32:56.920213
9	20.0	192	2	77.5	4.4	0.0	-19.0	2022-07-21 11:32:57.961434
10	19.0	199	2	77.5	4.06	0.0	-18.0	2022-07-21 11:32:58.932215
11	20.0	171	2	77.5	4.63	0.0	-19.0	2022-07-21 11:32:59.924224
12	20.0	166	2	77.5	4.43	0.0	-19.0	2022-07-21 11:33:00.959223
13	20.0	158	2	79.5	5.06	0.0	-19.0	2022-07-21 11:33:01.921647
14	32.0	302	4	97.2	5.18	0.0	-30.0	2022-07-21 11:33:02.955239
15	36.0	271	4	102.0	6.9	0.0	-33.0	2022-07-21 11:33:03.971592
16	39.0	681	4	103.0	4.73	0.0	-36.0	2022-07-21 11:33:04.936272
17	38.0	667	4	105.2	3.93	0.0	-35.0	2022-07-21 11:33:05.973883
18	38.0	148	4	105.8	6.86	0.0	-35.0	2022-07-21 11:33:06.936258
19	37.0	275	4	107.0	5.55	0.0	-34.0	2022-07-21 11:33:07.969302
20	38.0	708	4	108.0	4.44	0.0	-35.0	2022-07-21 11:33:08.937723
21	39.0	272	4	109.0	5.44	0.0	-36.0	2022-07-21 11:33:09.934921
22	38.0	287	4	109.8	5.32	0.0	-35.0	2022-07-21 11:33:10.940350
23	38.0	963	4	109.8	4.53	0.0	-35.0	2022-07-21 11:33:11.943335
24	37.0	234	4	109.8	7.23	0.0	-34.0	2022-07-21 11:33:12.944303
25	39.0	315	4	109.8	4.72	0.0	-36.0	2022-07-21 11:33:13.939303
26	37.0	264	4	110.5	5.16	0.0	-34.0	2022-07-21 11:33:14.992174
27	42.0	529	6	94.2	4.72	0.0	-37.0	2022-07-21 11:33:15.968344
28	55.0	505	6	96.3	5.18	0.0	-49.0	2022-07-21 11:33:17.072538
29	55.0	507	6	97.5	5.39	0.0	-49.0	2022-07-21 11:33:17.964333
30	57.0	350	6	97.5	5.12	0.0	-51.0	2022-07-21 11:33:18.961301
31	55.0	369	6	98.7	5.75	0.0	-49.0	2022-07-21 11:33:19.960325
32	55.0	238	6	100.5	6.17	0.0	-49.0	2022-07-21 11:33:20.968322
33	54.0	513	6	100.7	6.15	0.0	-48.0	2022-07-21 11:33:21.966000
34	58.0	250	6	101.3	8.18	0.0	-52.0	2022-07-21 11:33:22.962998
35	54.0	335	6	101.8	5.96	0.0	-48.0	2022-07-21 11:33:23.998453
36	56.0	605	6	102.7	4.86	0.0	-50.0	2022-07-21 11:33:24.959260
37	56.0	508	6	103.2	4.95	0.0	-50.0	2022-07-21 11:33:25.956205
38	57.0	403	6	103.2	6.27	0.0	-51.0	2022-07-21 11:33:26.952309
39	55.0	567	6	103.2	4.91	0.0	-49.0	2022-07-21 11:33:27.967308
40	55.0	539	6	103.2	4.94	0.0	-49.0	2022-07-21 11:33:28.968340
41	68.0	603	8	86.8	4.86	0.0	-58.0	2022-07-21 11:33:30.004768
42	71.0	254	8	88.9	9.05	0.0	-61.0	2022-07-21 11:33:31.003509
43	73.0	497	8	90.5	5.26	0.0	-62.0	2022-07-21 11:33:31.963418
44	73.0	390	8	92.5	5.72	0.0	-62.0	2022-07-21 11:33:33.019417
45	74.0	464	8	93.4	6.22	0.0	-63.0	2022-07-21 11:33:33.964309
46	72.0	525	8	95.1	5.67	0.0	-61.0	2022-07-21 11:33:35.000450
47	77.0	377	8	95.2	7.14	0.0	-66.0	2022-07-21 11:33:35.988435
48	71.0	441	8	95.2	6.7	0.0	-61.0	2022-07-21 11:33:36.968414
49	77.0	413	8	96.1	8.12	0.0	-66.0	2022-07-21 11:33:38.002425
50	73.0	280	8	96.1	9.48	0.0	-62.0	2022-07-21 11:33:38.979452
51	71.0	335	8	96.6	8.27	0.0	-61.0	2022-07-21 11:33:39.972508
52	74.0	339	8	96.6	7.32	0.0	-63.0	2022-07-21 11:33:41.006607
53	72.0	426	8	96.6	6.9	0.0	-61.0	2022-07-21 11:33:42.031478
54	72.0	420	8	97.0	7.22	0.0	-61.0	2022-07-21 11:33:42.987398
55	76.0	412	8	97.5	6.54	0.0	-65.0	2022-07-21 11:33:43.984443
56	74.0	402	8	98.4	6.05	0.0	-63.0	2022-07-21 11:33:44.976404
57	71.0	577	8	98.4	5.9	0.0	-61.0	2022-07-21 11:33:46.031967
58	73.0	1062	8	98.4	5.61	0.0	-62.0	2022-07-21 11:33:46.992442
59	74.0	291	8	98.4	7.81	0.0	-63.0	2022-07-21 11:33:47.976213
60	72.0	200	8	99.0	9.07	0.0	-61.0	2022-07-21 11:33:48.985021
61	74.0	375	8	99.0	7.92	0.0	-63.0	2022-07-21 11:33:49.975427
62	72.0	583	8	99.0	5.89	0.0	-61.0	2022-07-21 11:33:50.984422
63	73.0	827	8	99.0	5.46	0.0	-62.0	2022-07-21 11:33:51.996282
64	71.0	340	8	99.0	7.41	0.0	-61.0	2022-07-21 11:33:52.997791
65	75.0	844	8	99.0	6.35	0.0	-64.0	2022-07-21 11:33:54.049635
66	74.0	660	8	99.0	4.95	0.0	-63.0	2022-07-21 11:33:55.033506
67	71.0	341	8	99.0	7.21	0.0	-61.0	2022-07-21 11:33:55.995392
68	75.0	342	8	99.0	7.67	0.0	-64.0	2022-07-21 11:33:57.003196
69	73.0	306	8	99.0	8.28	0.0	-62.0	2022-07-21 11:33:58.008417
70	74.0	496	8	99.0	5.43	0.0	-63.0	2022-07-21 11:33:59.050447
71	72.0	325	8	99.0	8.09	0.0	-61.0	2022-07-21 11:33:59.984418
