	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	225.0	2883	6	96.0	1.56	0.0	-200.0	2022-07-26 11:29:15.627894
1	275.0	4222	6	233.2	2.44	0.0	-244.0	2022-07-26 11:29:16.616993
2	270.0	3440	6	296.0	3.16	0.0	-240.0	2022-07-26 11:29:17.629016
3	290.0	3935	6	323.3	2.95	0.0	-258.0	2022-07-26 11:29:18.632819
4	500.0	4381	16	210.9	3.75	0.0	-364.0	2022-07-26 11:29:19.669177
5	700.0	6942	16	257.9	3.59	0.0	-510.0	2022-07-26 11:29:20.641257
6	715.0	5030	16	285.2	4.98	0.0	-521.0	2022-07-26 11:29:21.657523
7	675.0	4461	9	322.9	4.13	0.0	-565.0	2022-07-26 11:29:22.696999
8	390.0	5574	9	331.1	3.26	0.0	-326.0	2022-07-26 11:29:23.621047
9	405.0	6339	9	341.2	3.13	0.0	-339.0	2022-07-26 11:29:24.662090
10	400.0	5930	9	345.4	3.32	0.0	-335.0	2022-07-26 11:29:25.697776
11	405.0	5299	9	349.3	3.23	0.0	-339.0	2022-07-26 11:29:26.629011
12	390.0	6132	9	351.2	3.35	0.0	-326.0	2022-07-26 11:29:27.661096
13	400.0	7183	9	361.6	2.84	0.0	-335.0	2022-07-26 11:29:28.648934
14	560.0	4532	16	253.6	4.7	0.0	-408.0	2022-07-26 11:29:29.633311
15	700.0	4715	16	290.9	4.66	0.0	-510.0	2022-07-26 11:29:30.636529
16	725.0	4362	16	300.7	5.2	0.0	-528.0	2022-07-26 11:29:31.694651
17	675.0	6451	16	311.2	3.73	0.0	-492.0	2022-07-26 11:29:32.662202
18	680.0	3400	16	313.4	6.04	0.0	-495.0	2022-07-26 11:29:33.673264
19	690.0	7020	18	288.9	4.72	0.0	-483.0	2022-07-26 11:29:34.641126
20	785.0	4988	18	304.0	5.21	0.0	-550.0	2022-07-26 11:29:35.718509
21	760.0	6466	18	309.4	4.8	0.0	-532.0	2022-07-26 11:29:36.645323
22	775.0	8879	18	310.4	3.57	0.0	-543.0	2022-07-26 11:29:37.644888
