	curr_thrpt	goodput	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0	50.0	834	1	196.0	1.33	0.0	-49.0	2022-07-22 14:35:17.058142
1	50.0	645	1	190.0	1.33	0.0	-49.0	2022-07-22 14:35:18.016294
2	50.0	571	1	192.0	1.33	0.0	-49.0	2022-07-22 14:35:19.000042
3	45.0	594	1	198.0	1.29	0.0	-44.0	2022-07-22 14:35:20.011264
4	80.0	885	2	186.0	1.35	0.0	-77.0	2022-07-22 14:35:21.020245
5	90.91	854	2	186.0	1.23	0.0	-87.0	2022-07-22 14:35:22.032158
6	100.0	846	2	184.0	1.36	0.0	-96.0	2022-07-22 14:35:23.015323
7	100.0	754	4	190.0	1.62	0.0	-92.0	2022-07-22 14:35:24.056954
8	190.0	775	4	186.0	1.26	0.0	-176.0	2022-07-22 14:35:25.036416
9	190.0	495	4	186.0	2.02	0.0	-176.0	2022-07-22 14:35:26.028264
10	190.0	866	4	184.0	1.25	0.0	-176.0	2022-07-22 14:35:27.011353
11	330.0	242	10	182.0	3.05	0.0	-271.0	2022-07-22 14:35:28.038531
12	450.0	904	10	182.0	1.25	0.0	-369.0	2022-07-22 14:35:29.036294
13	440.0	232	10	182.0	3.2	0.0	-361.0	2022-07-22 14:35:30.152163
14	445.0	629	10	234.0	1.44	0.0	-365.0	2022-07-22 14:35:31.104330
15	695.0	440	16	198.0	1.59	0.0	-506.0	2022-07-22 14:35:32.039553
16	700.0	896	16	188.0	1.26	0.0	-510.0	2022-07-22 14:35:33.036307
17	690.0	675	16	190.0	1.51	0.0	-503.0	2022-07-22 14:35:34.112311
18	810.0	12	24	61.0	7.62	0.0	-504.0	2022-07-22 14:35:35.088437
19	934.82	37	24	14.0	2.45	0.0	-581.0	2022-07-22 14:35:36.048102
20	848.36	35	24	19.0	2.41	0.0	-527.0	2022-07-22 14:35:37.033162
21	845.58	38	24	12.0	2.52	0.0	-526.0	2022-07-22 14:35:38.027910
22	853.94	15	29	14.0	3.14	0.0	-481.0	2022-07-22 14:35:39.018880
23	828.05	17	29	14.0	3.27	0.0	-466.0	2022-07-22 14:35:40.023211
24	843.65	14	29	14.0	3.28	0.0	-475.0	2022-07-22 14:35:41.013293
25	819.76	17	28	14.0	3.14	0.0	-471.0	2022-07-22 14:35:42.028285
26	827.73	18	28	14.0	3.19	0.0	-475.0	2022-07-22 14:35:43.013967
27	841.52	15	28	14.0	3.17	0.0	-483.0	2022-07-22 14:35:44.020602
28	829.45	14	28	20.0	3.14	0.0	-476.0	2022-07-22 14:35:45.013008
29	838.8	16	26	14.0	2.84	0.0	-501.0	2022-07-22 14:35:46.100456
30	859.6	30	26	18.0	2.29	0.0	-514.0	2022-07-22 14:35:47.035812
31	855.74	31	26	18.0	2.36	0.0	-511.0	2022-07-22 14:35:48.035998
32	827.46	40	23	18.0	2.42	0.0	-525.0	2022-07-22 14:35:49.037915
33	846.77	37	23	24.0	2.45	0.0	-537.0	2022-07-22 14:35:50.036379
34	845.64	30	23	18.0	2.54	0.0	-536.0	2022-07-22 14:35:51.035695
35	858.32	34	23	24.0	2.39	0.0	-544.0	2022-07-22 14:35:52.024744
36	824.43	41	19	20.0	2.63	0.0	-566.0	2022-07-22 14:35:53.076513
37	858.01	59	19	38.0	2.78	0.0	-589.0	2022-07-22 14:35:54.050241
38	860.8	29	19	22.0	2.78	0.0	-591.0	2022-07-22 14:35:55.044305
39	808.43	105	14	64.0	2.1	0.0	-613.0	2022-07-22 14:35:56.108469
40	595.87	539	14	200.0	1.37	0.0	-452.0	2022-07-22 14:35:57.084266
41	610.0	513	14	188.0	1.75	0.0	-462.0	2022-07-22 14:35:58.092331
42	605.0	216	14	186.0	4.71	0.0	-459.0	2022-07-22 14:35:59.104302
43	635.0	492	15	180.0	2.56	0.0	-472.0	2022-07-22 14:36:00.140413
44	665.0	851	15	206.0	1.24	0.0	-494.0	2022-07-22 14:36:01.152298
45	630.0	329	15	188.0	3.6	0.0	-468.0	2022-07-22 14:36:02.079558
46	680.0	173	17	150.0	3.13	0.0	-486.0	2022-07-22 14:36:03.084423
47	750.0	819	17	202.0	1.04	0.0	-536.0	2022-07-22 14:36:04.080289
48	775.0	286	17	190.0	3.72	0.0	-553.0	2022-07-22 14:36:05.104633
49	730.0	550	17	194.0	1.63	0.0	-521.0	2022-07-22 14:36:06.132560
50	954.43	29	23	28.0	2.61	0.0	-605.0	2022-07-22 14:36:07.085353
51	885.04	36	23	30.0	2.83	0.0	-561.0	2022-07-22 14:36:08.068662
52	849.22	36	23	24.0	2.51	0.0	-539.0	2022-07-22 14:36:09.068262
53	871.67	28	27	22.0	2.5	0.0	-511.0	2022-07-22 14:36:10.048114
54	819.34	29	27	22.0	2.45	0.0	-480.0	2022-07-22 14:36:11.048752
55	834.51	28	27	22.0	2.37	0.0	-489.0	2022-07-22 14:36:12.048407
56	842.18	29	27	22.0	2.39	0.0	-493.0	2022-07-22 14:36:13.048921
57	828.19	30	26	22.0	2.25	0.0	-495.0	2022-07-22 14:36:14.053303
58	833.02	31	26	24.0	2.48	0.0	-498.0	2022-07-22 14:36:15.050627
59	838.08	31	26	22.0	2.3	0.0	-501.0	2022-07-22 14:36:16.089247
60	827.3	35	24	28.0	2.71	0.0	-514.0	2022-07-22 14:36:17.085022
61	858.81	26	24	28.0	2.58	0.0	-534.0	2022-07-22 14:36:18.076316
62	854.93	34	24	24.0	2.07	0.0	-532.0	2022-07-22 14:36:19.072484
63	852.53	35	24	26.0	2.46	0.0	-530.0	2022-07-22 14:36:20.066310
64	834.19	40	21	34.0	2.95	0.0	-550.0	2022-07-22 14:36:21.092806
65	866.35	42	21	32.0	2.85	0.0	-572.0	2022-07-22 14:36:22.079115
66	858.62	36	21	32.0	2.52	0.0	-566.0	2022-07-22 14:36:23.076413
67	843.44	30	17	52.0	4.22	0.0	-602.0	2022-07-22 14:36:24.192330
68	766.34	97	17	104.0	2.3	0.0	-547.0	2022-07-22 14:36:25.105381
69	710.0	82	17	84.0	4.39	0.0	-507.0	2022-07-22 14:36:26.091708
70	745.0	256	17	121.0	2.1	0.0	-532.0	2022-07-22 14:36:27.122662
71	760.0	217	18	198.0	4.4	0.0	-532.0	2022-07-22 14:36:28.138861
72	745.0	99	18	154.0	4.85	0.0	-522.0	2022-07-22 14:36:29.116297
