#{"t_start": 1662303914.7528226, "env_id": null}
r,l,t
3.84,7,27.320315
3.6,8,51.29085
4.96,8,75.544912
3.94,8,99.892171
3.89,8,123.661203
4.46,8,147.507651
3.94,8,171.473305
3.96,8,195.362031
4.9,8,219.500517
4.99,8,243.814397
3.0,8,267.623835
3.91,8,291.410715
3.93,8,315.233938
3.9,8,338.91076
3.93,8,362.747626
3.93,8,386.545626
3.93,8,410.434667
2.66,8,434.09832
3.96,8,457.95199
3.93,8,481.696899
3.16,8,505.490412
3.22,8,529.146966
3.93,8,553.110402
3.99,8,576.983567
1.87,8,600.509755
3.64,8,624.297087
3.97,8,648.079725
3.77,8,671.805922
3.65,8,695.536118
3.33,8,719.201929
3.25,8,743.000033
3.0,8,766.630265
3.33,8,790.380443
1.87,8,813.997398
1.89,8,837.573768
2.62,8,861.270088
1.47,8,884.884138
1.83,8,908.433655
1.46,8,931.907705
1.47,8,955.420739
2.6,8,978.967663
1.46,8,1002.488114
1.88,8,1026.057416
1.9,8,1049.558763
1.87,8,1073.032434
1.82,8,1096.5094
2.6,8,1120.163676
2.63,8,1143.778801
3.3,8,1167.433357
1.9,8,1191.052956
3.29,8,1214.738394
2.61,8,1238.375461
2.57,8,1262.095277
3.27,8,1285.700519
2.9,8,1309.316148
3.31,8,1333.218992
2.69,8,1356.914467
1.9,8,1380.47555
1.9,8,1404.03445
1.87,8,1427.523656
0.51,8,1451.046306
1.86,8,1474.657029
1.88,8,1498.30151
1.46,8,1521.843944
1.07,8,1545.480188
0.56,8,1568.974831
1.46,8,1592.526666
0.58,8,1616.199727
0.56,8,1639.731016
1.06,8,1663.296103
1.06,8,1686.785143
1.47,8,1710.33805
1.07,8,1733.853429
1.47,8,1757.328704
1.07,8,1780.846483
1.87,8,1804.378034
1.06,8,1827.905683
2.57,8,1851.573171
1.46,8,1875.002794
1.46,8,1898.543297
2.66,8,1922.348309
2.6,8,1945.94914
2.63,8,1969.613985
1.07,8,1993.144352
1.51,8,2016.990749
0.56,8,2040.466141
1.41,8,2063.986835
1.4,8,2087.577624
2.23,8,2111.12639
1.39,8,2134.601357
2.62,8,2158.272572
2.61,8,2181.897725
2.27,8,2205.449263
2.6,8,2228.990648
2.2,8,2252.633257
0.57,8,2276.175093
2.61,8,2299.799769
2.92,8,2323.420152
2.26,8,2347.067806
1.48,8,2370.513999
1.06,8,2393.983169
2.61,8,2417.490632
1.4,8,2440.965453
2.26,8,2464.632731
2.6,8,2488.319002
1.46,8,2511.949045
2.59,8,2535.547858
2.6,8,2559.229522
3.0,8,2583.193403
2.56,8,2606.91359
2.89,8,2630.662778
2.63,8,2654.323289
1.91,8,2677.895195
2.66,8,2701.451662
2.97,8,2725.332052
2.46,8,2748.991288
3.0,8,2772.761685
2.57,8,2796.652891
2.6,8,2820.273019
2.66,8,2843.818546
2.64,8,2867.396792
3.0,8,2891.114987
1.94,8,2914.773421
3.3,8,2938.446475
2.67,8,2962.10644
