#{"t_start": 1661457521.2060063, "env_id": null}
r,l,t
13.93,8,6335.316052
11.81,8,6360.193339
-0.7,8,6384.654267
6.66,8,6409.479074
14.72,8,6434.564237
15.31,8,6459.572077
1.133333,8,6483.949217
6.236667,8,6509.186202
13.18,8,6533.742117
14.1,8,6558.849602
1.59,8,6583.314442
5.586667,8,6608.244216
14.88,8,6633.102714
14.9,8,6658.18778
1.67,8,6682.802892
5.106667,8,6707.808117
14.96,8,6733.105515
14.4,8,6758.191638
2.063333,8,6782.842768
4.656667,8,6807.996026
14.33,8,6833.103407
14.26,8,6858.123657
2.963333,8,6882.687248
4.946667,8,6907.528091
13.06,8,6932.472112
14.76,8,6957.134238
4.333333,8,6981.566664
3.223333,8,7006.400154
14.07,8,7031.559113
13.9,8,7056.671903
4.276667,8,7081.191596
3.04,8,7106.078587
14.4,8,7131.456686
10.576667,8,7156.138134
4.256667,8,7180.636992
2.296667,8,7205.491145
13.16,8,7230.797404
14.92,8,7255.498026
5.85,8,7280.015164
1.813333,8,7304.89848
14.63,8,7329.869433
13.13,8,7354.820269
6.406667,8,7379.265022
1.01,8,7403.800901
13.02,8,7428.879897
14.01,8,7454.201951
6.353333,8,7478.806667
-0.223333,8,7503.860911
13.73,8,7528.875491
13.32,8,7553.531162
8.256667,8,7578.065921
-0.803333,8,7602.980843
14.3,8,7628.126956
14.23,8,7653.209032
8.203333,8,7677.926447
-0.876667,8,7702.822809
13.94,8,7727.932266
14.19,8,7753.086647
8.493333,8,7777.682102
-2.476667,8,7802.309984
13.5,8,7827.43166
11.83,8,7852.491808
9.043333,8,7877.012079
-2.96,8,7901.727585
13.89,8,7926.741763
14.93,8,7951.850052
9.183333,8,7976.599623
-2.846667,8,8001.281947
12.38,8,8026.169099
13.55,8,8051.473445
10.953333,8,8076.225492
-3.163333,8,8100.645616
14.0,8,8125.628685
14.21,8,8150.565727
11.356667,8,8175.228632
-3.316667,8,8200.003029
14.34,8,8224.983742
13.46,8,8249.887788
11.1,8,8274.510324
-2.87,8,8298.754162
12.53,8,8323.473113
13.16,8,8348.065945
13.55,8,8372.656829
-2.933333,8,8397.04022
12.233333,8,8422.137056
14.4,8,8447.002174
12.57,8,8471.724298
-3.1,8,8496.383588
11.6,8,8521.313756
14.13,8,8545.998889
13.4,8,8570.642456
-2.86,8,8595.077914
9.48,8,8619.703599
11.67,8,8644.438127
12.4,8,8669.307749
-2.893333,8,8693.750458
9.256667,8,8718.755438
12.16,8,8743.641004
12.6,8,8768.442115
-1.016667,8,8792.770097
6.953333,8,8817.511287
13.79,8,8842.527547
14.1,8,8867.430885
-1.006667,8,8891.968621
7.0,8,8916.50283
12.27,8,8941.28691
12.16,8,8966.531586
-1.04,8,8991.18769
6.346667,8,9016.24874
10.27,8,9041.146228
11.7,8,9065.82897
1.396667,8,9090.311991
3.373333,8,9114.857685
12.43,8,9139.601191
12.1,8,9164.587591
0.96,8,9189.090725
4.486667,8,9213.586749
13.11,8,9238.772619
14.47,8,9263.837846
2.28,8,9288.301435
3.063333,8,9313.158948
12.46,8,9338.031019
11.67,8,9362.928511
3.42,8,9387.529994
2.15,8,9412.353001
11.33,8,9436.984155
13.82,8,9461.728582
3.313333,8,9486.431159
1.51,8,9511.368532
13.52,8,9535.94478
12.48,8,9561.232911
4.9,8,9585.843139
2.073333,8,9610.67329
13.96,8,9635.760625
12.63,8,9660.637388
6.03,8,9685.062326
1.116667,8,9710.015562
12.67,8,9734.548968
14.14,8,9759.797742
4.983333,8,9784.551835
-0.586667,8,9809.537853
13.06,8,9834.141821
13.15,8,9859.096243
6.36,8,9883.764049
-0.863333,8,9908.728107
12.5,8,9933.787679
13.46,8,9958.997385
8.036667,8,9983.439077
-1.073333,8,10007.983181
13.51,8,10033.21331
13.7,8,10058.215025
8.3,8,10082.662755
-2.943333,8,10107.301218
11.43,8,10132.17546
14.47,8,10157.258497
8.723333,8,10181.797945
-2.61,8,10206.304057
13.07,8,10231.438331
14.27,8,10256.738912
10.89,8,10281.269184
-2.883333,8,10306.051
12.83,8,10330.874217
12.46,8,10355.456827
11.176667,8,10379.785418
-2.703333,8,10403.989056
13.07,8,10429.232925
13.11,8,10453.909796
12.73,8,10478.341253
-2.753333,8,10502.692786
11.613333,8,10527.80561
13.47,8,10553.154174
13.74,8,10577.874176
-2.94,8,10602.155191
9.126667,8,10627.129522
13.36,8,10651.984349
14.37,8,10676.806295
-2.946667,8,10701.083887
11.19,8,10725.793834
13.21,8,10750.782333
13.24,8,10775.833983
-2.833333,8,10800.07662
7.866667,8,10824.834775
12.91,8,10849.544956
14.24,8,10874.515463
-2.99,8,10898.889344
9.25,8,10923.771991
13.87,8,10948.634953
14.03,8,10973.657466
-1.126667,8,10997.976043
5.773333,8,11022.667539
14.26,8,11047.827513
13.37,8,11072.592076
-0.796667,8,11096.946257
6.77,8,11121.868212
13.77,8,11146.82048
13.39,8,11171.652483
1.063333,8,11195.949961
5.84,8,11220.97119
13.19,8,11246.038972
13.19,8,11270.98954
1.533333,8,11295.615428
1.306667,8,11320.352109
14.04,8,11345.389466
13.96,8,11370.076497
2.983333,8,11394.684818
4.83,8,11419.58859
14.2,8,11444.589219
13.76,8,11469.810694
0.64,8,11494.029546
0.646667,8,11518.72487
14.18,8,11543.568747
14.03,8,11568.68323
3.623333,8,11593.104481
3.213333,8,11617.768192
13.64,8,11642.712858
13.92,8,11667.806224
3.916667,8,11692.126114
2.456667,8,11717.064672
12.69,8,11741.885747
14.44,8,11767.015337
3.77,8,11791.345594
-0.626667,8,11816.189083
14.16,8,11841.410503
14.06,8,11866.207253
5.443333,8,11890.557705
-2.506667,8,11914.800057
13.93,8,11939.837368
13.17,8,11964.945815
4.803333,8,11989.478987
-2.723333,8,12013.674351
11.16,8,12038.569675
13.12,8,12063.312501
7.573333,8,12087.861148
-2.843333,8,12112.377875
14.44,8,12137.036473
12.43,8,12162.105531
8.583333,8,12186.74692
-2.916667,8,12210.979584
8.88,8,12236.028945
12.57,8,12260.953352
6.086667,8,12285.368782
-2.59,8,12309.992093
7.09,8,12334.195325
13.33,8,12359.350459
12.1,8,12383.912489
-2.746667,8,12408.166776
7.79,8,12433.419165
13.3,8,12458.299742
12.44,8,12483.109841
-2.716667,8,12507.634495
10.643333,8,12532.849859
13.26,8,12557.703932
9.993333,8,12582.616669
-2.513333,8,12606.809679
6.7,8,12631.447413
13.0,8,12656.571198
12.27,8,12681.72506
-2.766667,8,12706.150614
1.29,8,12730.629856
11.64,8,12755.321656
10.64,8,12780.368883
-2.91,8,12804.607838
6.466667,8,12829.556675
12.15,8,12854.421609
