#{"t_start": 1661372226.7804112, "env_id": null}
r,l,t
-6.0,7,5532.285535
-3.73,7,5554.378227
-3.57,7,5576.489279
-3.57,7,5598.596866
-6.0,7,5620.765251
-6.0,7,5642.92455
-3.57,7,5665.027689
-3.5,7,5687.105465
-3.63,7,5709.229136
-6.0,7,5731.521442
-3.4,7,5753.62519
-3.7,7,5775.702046
-3.43,7,5797.797631
-6.0,7,5819.919783
-6.0,7,5842.200422
-3.53,7,5864.287596
-3.63,7,5886.407824
-3.37,7,5908.563793
-6.0,7,5930.721669
-3.4,7,5952.842843
-3.57,7,5974.955687
-3.6,7,5997.063496
-6.0,7,6019.180014
-6.0,7,6041.299237
-3.6,7,6063.419874
-3.6,7,6085.497912
-3.6,7,6107.629666
-6.0,7,6129.939265
-3.6,7,6152.064098
-3.37,7,6174.203854
-3.53,7,6196.288935
-3.63,7,6218.432507
-6.0,7,6240.648127
-3.33,7,6262.745962
-3.6,7,6284.82679
-3.4,7,6306.972278
-6.0,7,6329.205381
-3.63,7,6351.329145
-3.63,7,6373.450252
-3.7,7,6395.550248
-3.43,7,6417.731023
-6.0,7,6439.917048
-3.6,7,6462.041671
-3.53,7,6484.163928
-3.53,7,6506.290089
-6.0,7,6528.431296
-3.8,7,6550.583326
-3.53,7,6572.672396
-3.57,7,6594.776478
-3.57,7,6616.967641
-6.0,7,6639.102207
-3.63,7,6661.197589
-3.63,7,6683.309531
-3.77,7,6705.431213
-6.0,7,6727.579926
-6.0,7,6749.755716
-3.57,7,6771.898386
-3.6,7,6794.007938
-3.83,7,6816.186017
-6.0,7,6838.516429
-3.63,7,6860.626395
-3.67,7,6882.737914
-3.57,7,6904.875267
-6.0,7,6927.100681
-6.0,7,6949.280713
-3.57,7,6971.374269
-3.57,7,6993.480067
-3.53,7,7015.637597
-6.0,7,7037.767007
-3.83,7,7059.859926
-3.37,7,7081.973787
-3.83,7,7104.075251
-6.0,7,7126.253587
-6.0,7,7148.379733
-6.0,7,7170.488482
-3.6,7,7192.604398
-3.6,7,7214.723369
-6.0,7,7236.924243
-3.83,7,7259.004996
-3.77,7,7281.105002
-3.57,7,7303.274393
-6.0,7,7325.500943
-6.0,7,7347.615278
-3.57,7,7369.705076
-3.83,7,7391.828899
-3.73,7,7413.980954
-6.0,7,7436.115225
-3.8,7,7458.209938
-3.5,7,7480.338329
-3.63,7,7502.458534
-6.0,7,7524.650271
-6.0,7,7546.771999
-3.57,7,7568.880242
-3.63,7,7590.992178
-3.8,7,7613.12557
-6.0,7,7635.282738
-3.6,7,7657.396524
-3.57,7,7679.573959
-3.63,7,7701.719459
-6.0,7,7723.861312
-6.0,7,7745.985359
-3.57,7,7768.083163
-3.53,7,7790.186486
-3.8,7,7812.343419
-6.0,7,7834.490588
-3.57,7,7856.613838
-3.83,7,7878.751268
-3.63,7,7900.823181
-6.0,7,7923.0008
-6.0,7,7945.132085
-3.87,7,7967.218954
-3.83,7,7989.301019
-3.87,7,8011.435219
-6.0,7,8033.547857
-3.67,7,8055.642417
-3.63,7,8077.727789
-3.6,7,8099.853442
