#{"t_start": 1661124862.1311226, "env_id": null}
r,l,t
13.17,7,6293.081949
12.3,7,6317.008057
3.0,7,6340.37215
11.08,7,6363.501325
12.87,7,6387.154824
2.07,7,6410.439479
10.34,7,6434.210538
11.86,7,6457.737151
12.0,7,6480.965897
6.4,7,6504.968266
12.73,7,6528.390873
12.04,7,6551.654885
2.5,7,6575.18101
12.46,7,6598.677559
13.17,7,6622.168794
6.34,7,6645.239474
9.26,7,6669.013741
11.99,7,6692.519749
11.34,7,6716.420938
2.64,7,6739.589335
13.47,7,6763.111279
12.49,7,6787.013861
3.34,7,6810.114491
9.07,7,6833.138466
10.69,7,6856.631454
11.89,7,6880.258031
2.3,7,6903.636689
13.0,7,6927.103966
10.89,7,6950.115221
2.4,7,6973.626735
12.54,7,6997.312777
12.4,7,7021.106371
12.12,7,7044.466622
4.09,7,7068.066849
11.02,7,7091.56286
7.3,7,7114.49829
3.13,7,7137.824645
10.73,7,7161.071968
11.63,7,7184.610872
8.76,7,7207.805809
8.17,7,7231.401103
7.06,7,7254.723907
7.84,7,7277.787786
2.13,7,7300.804217
2.83,7,7323.756001
7.87,7,7347.157298
5.03,7,7370.360628
10.87,7,7393.884873
10.77,7,7417.04845
12.94,7,7440.788786
3.83,7,7463.990208
7.33,7,7487.104922
8.33,7,7510.960301
-0.6,7,7534.375088
7.94,7,7557.754636
6.83,7,7580.930585
10.48,7,7604.491435
0.5,7,7628.106991
4.78,7,7651.340314
7.64,7,7674.398012
1.4,7,7697.442611
6.94,7,7720.778881
8.4,7,7744.371049
6.14,7,7767.262011
3.01,7,7791.071816
8.7,7,7814.522798
7.33,7,7837.888074
-0.53,7,7860.700702
11.5,7,7884.506755
3.03,7,7907.983521
7.29,7,7931.009757
2.47,7,7954.719618
7.79,7,7977.884323
3.07,7,8001.108143
-3.1,7,8024.152072
10.5,7,8047.252076
8.64,7,8071.030401
0.23,7,8093.691962
7.7,7,8117.082758
7.73,7,8140.565477
5.16,7,8163.694869
-2.97,7,8186.633004
7.56,7,8209.791404
7.99,7,8232.826001
2.2,7,8255.833338
6.97,7,8279.360826
5.33,7,8302.460182
7.33,7,8325.962693
1.67,7,8349.331707
5.27,7,8372.301184
5.83,7,8395.242874
-0.2,7,8418.210004
11.0,7,8441.869009
5.66,7,8464.980086
8.93,7,8488.271662
0.06,7,8512.144212
6.16,7,8535.755895
8.9,7,8558.876194
1.44,7,8582.1113
5.8,7,8605.0297
3.03,7,8628.219837
3.36,7,8651.092178
-0.3,7,8674.515857
3.53,7,8698.123637
5.94,7,8721.29265
-2.83,7,8744.304293
2.73,7,8767.745382
7.9,7,8790.547927
2.4,7,8813.582324
2.8,7,8837.337717
5.46,7,8860.584685
5.1,7,8883.994621
0.1,7,8907.384831
5.37,7,8931.333749
6.53,7,8954.8024
2.03,7,8977.425985
8.56,7,9001.006768
5.37,7,9024.139837
5.4,7,9047.573661
-2.87,7,9070.433942
4.4,7,9093.678632
8.13,7,9117.039881
-2.8,7,9139.861982
5.73,7,9163.297169
8.03,7,9186.850979
8.24,7,9210.463253
-0.97,7,9233.650495
3.63,7,9257.092726
9.3,7,9280.833393
-0.3,7,9304.178236
6.63,7,9328.02013
8.68,7,9350.955073
2.64,7,9373.793083
2.2,7,9397.41864
9.03,7,9420.834457
6.13,7,9444.685358
2.03,7,9467.925507
9.8,7,9492.020456
8.81,7,9515.692166
2.93,7,9538.691984
-3.07,7,9561.72322
6.14,7,9585.278121
6.17,7,9609.141051
-1.0,7,9632.534252
2.67,7,9655.808038
10.48,7,9679.159803
-0.03,7,9702.080741
12.59,7,9725.063023
3.8,7,9748.176749
9.16,7,9771.549966
1.43,7,9794.769808
11.86,7,9818.743527
5.19,7,9842.362541
-0.53,7,9865.620538
8.47,7,9889.309831
8.3,7,9912.616566
6.17,7,9935.713523
2.01,7,9959.31233
5.8,7,9982.489522
-0.1,7,10005.53766
1.83,7,10028.635528
10.76,7,10052.580671
10.2,7,10076.01045
2.46,7,10099.081475
6.92,7,10122.646786
5.64,7,10145.604702
5.9,7,10168.928605
3.94,7,10191.998213
9.6,7,10215.440259
5.47,7,10238.940577
-0.26,7,10261.857949
8.01,7,10285.360169
3.83,7,10308.388534
-2.87,7,10331.536384
-0.47,7,10355.013888
8.64,7,10378.717906
2.33,7,10401.990529
-2.67,7,10425.245117
11.34,7,10448.933764
8.07,7,10472.233547
7.94,7,10495.360736
2.67,7,10519.08505
-0.6,7,10542.31843
6.41,7,10566.04599
-0.6,7,10589.073659
8.33,7,10612.425494
9.02,7,10636.240445
5.37,7,10659.269471
2.86,7,10682.77842
6.46,7,10706.627398
1.43,7,10729.950091
-0.0,7,10753.144816
5.7,7,10776.813369
8.1,7,10800.152426
1.43,7,10822.997409
9.96,7,10846.456433
5.84,7,10869.679643
9.2,7,10893.399189
-1.63,7,10916.581127
5.83,7,10940.216023
11.37,7,10963.813773
-0.43,7,10987.214045
8.33,7,11010.720061
3.64,7,11033.653964
7.87,7,11056.987022
2.27,7,11080.585284
8.5,7,11104.215702
8.87,7,11127.924918
-0.37,7,11150.633669
5.47,7,11174.337391
6.14,7,11198.174964
6.33,7,11221.09665
5.46,7,11244.519731
9.12,7,11268.104853
7.66,7,11291.413355
0.33,7,11314.924394
10.61,7,11338.37535
12.17,7,11362.074405
6.6,7,11384.974972
5.73,7,11408.392516
8.54,7,11432.097541
8.44,7,11455.444893
0.16,7,11478.975764
8.23,7,11502.314863
11.77,7,11525.749729
2.97,7,11548.566303
9.77,7,11572.28881
10.2,7,11595.499468
11.06,7,11618.805683
2.7,7,11642.448379
6.19,7,11666.023105
9.1,7,11689.75769
1.17,7,11712.833193
8.23,7,11736.902933
12.43,7,11760.43804
9.4,7,11783.47753
7.43,7,11806.841446
11.26,7,11830.34989
12.06,7,11854.066041
-0.3,7,11877.394402
10.53,7,11900.896566
7.8,7,11924.391709
4.9,7,11947.362857
11.1,7,11970.736782
3.64,7,11993.841246
5.17,7,12017.168616
1.47,7,12040.499937
11.94,7,12064.370808
12.07,7,12088.054485
4.3,7,12111.330086
12.84,7,12134.895352
10.54,7,12158.010853
7.83,7,12180.953748
5.7,7,12204.726937
9.24,7,12228.293895
8.11,7,12251.711459
2.7,7,12275.067191
11.67,7,12298.281236
12.07,7,12322.090046
8.75,7,12344.976641
8.59,7,12368.31153
9.44,7,12392.192304
8.81,7,12415.933835
0.33,7,12439.451556
12.59,7,12463.476749
11.3,7,12486.965025
5.11,7,12509.923812
12.09,7,12533.191835
13.4,7,12556.717713
12.73,7,12580.738169
2.43,7,12604.19302
13.23,7,12627.605926
13.07,7,12651.243693
2.76,7,12674.307481
12.06,7,12698.071978
12.74,7,12721.563784
7.67,7,12744.502382
3.16,7,12768.272467
12.04,7,12791.817973
12.83,7,12815.474025
5.24,7,12838.791947
11.78,7,12862.124619
8.76,7,12885.444187
5.77,7,12908.370566
9.38,7,12931.864953
11.7,7,12955.224058
8.71,7,12978.365721
5.21,7,13001.890543
11.54,7,13025.478982
12.33,7,13049.313582
3.37,7,13072.404938
12.67,7,13095.564776
11.87,7,13118.86418
13.04,7,13142.587401
3.5,7,13166.117353
13.43,7,13189.661474
13.11,7,13213.527284
2.83,7,13236.759515
11.93,7,13260.425467
10.14,7,13283.735804
7.04,7,13306.630625
2.2,7,13330.12002
8.59,7,13353.572157
11.83,7,13377.171896
5.23,7,13400.711213
8.8,7,13423.637295
11.03,7,13447.139308
8.67,7,13470.151421
8.62,7,13493.945337
5.4,7,13517.240124
11.3,7,13540.613262
4.47,7,13563.924243
12.57,7,13587.682399
12.06,7,13611.401728
4.3,7,13634.228313
11.46,7,13657.585943
11.46,7,13680.882815
8.57,7,13703.858088
0.26,7,13727.600827
11.17,7,13751.224721
11.47,7,13774.569849
2.67,7,13797.51805
11.7,7,13821.19482
12.63,7,13844.821612
10.73,7,13867.88062
2.83,7,13891.689053
11.89,7,13915.213838
11.57,7,13938.764585
2.3,7,13961.841965
11.36,7,13985.378366
10.47,7,14008.954815
8.14,7,14031.819036
8.33,7,14055.060713
11.59,7,14078.670737
12.3,7,14102.49759
3.57,7,14126.181998
12.59,7,14149.693028
12.76,7,14173.455172
3.16,7,14196.474368
12.4,7,14219.873658
12.97,7,14243.503727
11.82,7,14267.266709
3.2,7,14291.067212
12.43,7,14314.913203
11.5,7,14338.338033
-0.7,7,14361.416698
12.1,7,14385.092479
12.87,7,14408.669524
9.8,7,14431.866499
3.37,7,14455.59347
10.7,7,14479.237237
11.59,7,14503.037334
2.56,7,14526.379846
11.74,7,14549.567217
11.89,7,14573.280771
6.24,7,14596.153757
12.03,7,14619.624495
11.33,7,14643.265722
12.66,7,14667.246805
2.9,7,14690.868545
12.87,7,14714.497649
12.74,7,14738.130865
4.47,7,14761.534706
10.6,7,14784.874323
10.29,7,14808.191642
7.47,7,14831.146919
4.86,7,14854.490068
13.21,7,14878.399163
12.2,7,14902.026143
2.37,7,14925.696091
12.73,7,14949.397893
11.96,7,14972.962496
8.27,7,14996.020587
9.54,7,15019.416717
12.67,7,15043.224081
12.4,7,15066.760943
1.1,7,15089.975816
11.99,7,15113.77719
11.65,7,15137.590075
3.1,7,15160.428745
3.36,7,15183.512254
-0.67,7,15206.647357
11.09,7,15230.209947
2.13,7,15253.9565
12.1,7,15277.612592
11.27,7,15300.994357
1.73,7,15324.141054
10.63,7,15347.315811
8.5,7,15370.813522
7.67,7,15394.132802
5.66,7,15417.990623
10.79,7,15441.664315
7.78,7,15465.360321
-0.77,7,15488.292528
4.17,7,15511.473818
12.3,7,15534.925756
-2.93,7,15557.950951
8.11,7,15581.671024
8.01,7,15605.107908
11.13,7,15628.966652
-3.73,7,15652.210412
-3.0,7,15675.424095
7.76,7,15698.920127
-2.77,7,15721.760749
8.2,7,15745.041917
-2.77,7,15768.01823
8.36,7,15791.660755
-0.13,7,15815.114393
9.13,7,15838.80388
11.38,7,15862.798304
4.43,7,15886.366859
11.21,7,15909.778332
11.43,7,15933.246154
