#{"t_start": 1662120527.2818575, "env_id": null}
r,l,t
3.87,62,207.062396
3.36,64,411.59537
5.2,63,613.977811
6.04,63,816.599612
3.77,63,1019.347378
3.0,63,1221.675167
2.97,63,1423.9569
3.89,63,1626.486658
3.25,63,1828.774163
2.19,63,2031.628585
4.46,63,2233.985572
4.95,63,2437.377239
3.71,63,2639.192318
4.96,63,2842.088754
4.49,63,3044.548039
3.93,63,3246.971954
3.9,63,3449.643454
4.81,63,3651.601543
4.84,63,3853.725461
4.94,64,4058.220411
3.37,63,4260.982935
4.29,63,4463.564191
2.28,63,4666.157765
5.3,63,4868.468802
2.76,63,5070.220714
0.53,63,5272.012937
3.3,63,5474.102963
3.32,63,5676.165289
2.59,63,5878.153375
2.18,63,6080.362206
2.96,63,6282.667074
